supplier,quarter,star_rating,call_wait_s,email_resp_pct,complaints_per_10k,q,year,t
Avro Energy,Q4 2017,1.4,,,,4,2017,8071
Bristol Energy,Q4 2017,3.8,,,,4,2017,8071
British Gas,Q4 2017,4.05,120.64,,,4,2017,8071
Bulb Energy,Q4 2017,4.4,,,,4,2017,8071
Co-op Energy,Q4 2017,2.85,51.0,,,4,2017,8071
E (Gas and Electricity),Q4 2017,4.0,74.59,,,4,2017,8071
E.ON Next,Q4 2017,3.3,203.0,,,4,2017,8071
EDF Energy,Q4 2017,3.7,228.0,,,4,2017,8071
Economy Energy,Q4 2017,1.2,,,,4,2017,8071
Ecotricity,Q4 2017,2.55,255.0,,,4,2017,8071
Extra Energy,Q4 2017,1.9,,,,4,2017,8071
Flow Energy,Q4 2017,3.2,,,,4,2017,8071
Good Energy,Q4 2017,2.25,89.0,,,4,2017,8071
Green Star Energy,Q4 2017,2.2,,,,4,2017,8071
Iresa,Q4 2017,1.3,,,,4,2017,8071
Octopus Energy,Q4 2017,4.15,70.0,,,4,2017,8071
Ovo Energy,Q4 2017,3.7,137.0,,,4,2017,8071
PFP Energy,Q4 2017,2.85,,,,4,2017,8071
Robin Hood Energy,Q4 2017,2.05,,,,4,2017,8071
SSE,Q4 2017,3.95,,,,4,2017,8071
Scottish Power,Q4 2017,3.45,124.0,,,4,2017,8071
Shell Energy,Q4 2017,3.3,,,,4,2017,8071
So Energy,Q4 2017,4.7,24.0,,,4,2017,8071
Spark Energy,Q4 2017,1.9,,,,4,2017,8071
Utilita,Q4 2017,2.2,112.0,,,4,2017,8071
Utility Warehouse,Q4 2017,3.75,256.0,,,4,2017,8071
iSupply,Q4 2017,2.25,,,,4,2017,8071
npower,Q4 2017,3.6,,,,4,2017,8071
Avro Energy,Q1 2018,1.7,,,,1,2018,8072
Bristol Energy,Q1 2018,4.05,,,,1,2018,8072
British Gas,Q1 2018,4.1,68.0,,,1,2018,8072
Bulb Energy,Q1 2018,3.85,,,,1,2018,8072
Co-op Energy,Q1 2018,3.2,87.0,,,1,2018,8072
E (Gas and Electricity),Q1 2018,4.3,68.0,,,1,2018,8072
E.ON Next,Q1 2018,2.95,196.0,,,1,2018,8072
EDF Energy,Q1 2018,3.85,251.0,,,1,2018,8072
Economy Energy,Q1 2018,2.3,,,,1,2018,8072
Ecotricity,Q1 2018,2.95,224.0,,,1,2018,8072
Engie,Q1 2018,4.3,,,,1,2018,8072
Extra Energy,Q1 2018,2.1,,,,1,2018,8072
Flow Energy,Q1 2018,3.1,,,,1,2018,8072
Good Energy,Q1 2018,2.55,60.0,,,1,2018,8072
Green Network Energy,Q1 2018,4.05,,,,1,2018,8072
Green Star Energy,Q1 2018,2.2,,,,1,2018,8072
Iresa,Q1 2018,0.35,,,,1,2018,8072
Octopus Energy,Q1 2018,3.8,70.0,,,1,2018,8072
Ovo Energy,Q1 2018,3.55,95.0,,,1,2018,8072
PFP Energy,Q1 2018,2.85,,,,1,2018,8072
Robin Hood Energy,Q1 2018,1.7,,,,1,2018,8072
SSE,Q1 2018,4.25,,,,1,2018,8072
Scottish Power,Q1 2018,3.3,114.0,,,1,2018,8072
Shell Energy,Q1 2018,3.4,,,,1,2018,8072
So Energy,Q1 2018,4.8,27.0,,,1,2018,8072
Spark Energy,Q1 2018,2.0,,,,1,2018,8072
TOTO Energy,Q1 2018,1.6,,,,1,2018,8072
Tonik Energy,Q1 2018,3.85,,,,1,2018,8072
Utilita,Q1 2018,2.2,175.0,,,1,2018,8072
Utility Warehouse,Q1 2018,3.45,209.0,,,1,2018,8072
iSupply,Q1 2018,2.4,,,,1,2018,8072
npower,Q1 2018,3.4,,,,1,2018,8072
Avro Energy,Q2 2018,2.55,,,,2,2018,8073
Bristol Energy,Q2 2018,3.85,,,,2,2018,8073
British Gas,Q2 2018,4.25,65.0,,,2,2018,8073
Bulb Energy,Q2 2018,4.35,,,,2,2018,8073
Co-op Energy,Q2 2018,3.0,65.0,,,2,2018,8073
E (Gas and Electricity),Q2 2018,3.75,99.0,,,2,2018,8073
E.ON Next,Q2 2018,3.15,180.0,,,2,2018,8073
EDF Energy,Q2 2018,4.05,174.0,,,2,2018,8073
Economy Energy,Q2 2018,2.3,,,,2,2018,8073
Ecotricity,Q2 2018,3.4,131.0,,,2,2018,8073
Engie,Q2 2018,3.75,,,,2,2018,8073
Extra Energy,Q2 2018,2.5,,,,2,2018,8073
Flow Energy,Q2 2018,2.55,,,,2,2018,8073
Good Energy,Q2 2018,3.0,155.0,,,2,2018,8073
Green Network Energy,Q2 2018,4.05,,,,2,2018,8073
Green Star Energy,Q2 2018,2.1,,,,2,2018,8073
Octopus Energy,Q2 2018,4.3,52.0,,,2,2018,8073
Ovo Energy,Q2 2018,3.45,64.0,,,2,2018,8073
PFP Energy,Q2 2018,2.4,,,,2,2018,8073
Robin Hood Energy,Q2 2018,2.55,,,,2,2018,8073
SSE,Q2 2018,3.95,,,,2,2018,8073
Scottish Power,Q2 2018,3.65,77.0,,,2,2018,8073
Shell Energy,Q2 2018,3.6,,,,2,2018,8073
So Energy,Q2 2018,4.7,29.0,,,2,2018,8073
Solarplicity,Q2 2018,1.8,,,,2,2018,8073
Spark Energy,Q2 2018,2.1,,,,2,2018,8073
TOTO Energy,Q2 2018,1.45,,,,2,2018,8073
Together Energy,Q2 2018,2.5,,,,2,2018,8073
Tonik Energy,Q2 2018,3.95,,,,2,2018,8073
Utilita,Q2 2018,2.75,82.0,,,2,2018,8073
Utility Warehouse,Q2 2018,3.8,164.0,,,2,2018,8073
iSupply,Q2 2018,2.15,,,,2,2018,8073
npower,Q2 2018,3.4,,,,2,2018,8073
Avro Energy,Q3 2018,2.75,,,,3,2018,8074
Bristol Energy,Q3 2018,4.05,,,,3,2018,8074
British Gas,Q3 2018,4.15,89.0,,,3,2018,8074
Bulb Energy,Q3 2018,4.2,,,,3,2018,8074
Co-op Energy,Q3 2018,3.05,67.0,,,3,2018,8074
E (Gas and Electricity),Q3 2018,4.1,156.0,,,3,2018,8074
E.ON Next,Q3 2018,2.9,310.0,,,3,2018,8074
EDF Energy,Q3 2018,3.95,295.0,,,3,2018,8074
Economy Energy,Q3 2018,2.4,,,,3,2018,8074
Ecotricity,Q3 2018,3.4,120.0,,,3,2018,8074
Engie,Q3 2018,3.5,,,,3,2018,8074
Flow Energy,Q3 2018,2.85,,,,3,2018,8074
Good Energy,Q3 2018,3.1,168.0,,,3,2018,8074
Green Network Energy,Q3 2018,3.55,,,,3,2018,8074
Green Star Energy,Q3 2018,2.3,,,,3,2018,8074
Octopus Energy,Q3 2018,4.3,52.0,,,3,2018,8074
OneSelect,Q3 2018,1.3,,,,3,2018,8074
Outfox Energy,Q3 2018,2.25,95.0,,,3,2018,8074
Ovo Energy,Q3 2018,3.7,162.0,,,3,2018,8074
PFP Energy,Q3 2018,2.75,,,,3,2018,8074
Robin Hood Energy,Q3 2018,2.35,,,,3,2018,8074
SSE,Q3 2018,4.4,,,,3,2018,8074
Scottish Power,Q3 2018,3.65,89.0,,,3,2018,8074
Shell Energy,Q3 2018,3.6,,,,3,2018,8074
So Energy,Q3 2018,4.7,21.0,,,3,2018,8074
Solarplicity,Q3 2018,2.0,,,,3,2018,8074
Spark Energy,Q3 2018,2.1,,,,3,2018,8074
TOTO Energy,Q3 2018,2.2,,,,3,2018,8074
Together Energy,Q3 2018,2.7,,,,3,2018,8074
Tonik Energy,Q3 2018,3.45,,,,3,2018,8074
Utilita,Q3 2018,2.25,404.0,,,3,2018,8074
Utility Warehouse,Q3 2018,3.95,145.0,,,3,2018,8074
iSupply,Q3 2018,2.15,,,,3,2018,8074
npower,Q3 2018,3.15,,,,3,2018,8074
Avro Energy,Q4 2018,2.7,,,,4,2018,8075
Bristol Energy,Q4 2018,4.05,,,,4,2018,8075
British Gas,Q4 2018,3.65,110.69,,8.5,4,2018,8075
Bulb Energy,Q4 2018,3.75,,,,4,2018,8075
Co-op Energy,Q4 2018,3.05,57.53,,22.3,4,2018,8075
E (Gas and Electricity),Q4 2018,3.45,332.0,,7.7,4,2018,8075
E.ON Next,Q4 2018,3.25,242.0,,19.5,4,2018,8075
EDF Energy,Q4 2018,4.15,175.0,,9.1,4,2018,8075
