service,provider,quarter,complaints_per_100k,year,q,t,is_industry_avg
Landline,BT,2010 Q4,25.0,2010,4,8043,False
Landline,BT,2011 Q1,28.0,2011,1,8044,False
Landline,BT,2011 Q2,25.0,2011,2,8045,False
Landline,BT,2011 Q3,30.0,2011,3,8046,False
Landline,BT,2011 Q4,24.0,2011,4,8047,False
Landline,BT,2012 Q1,25.0,2012,1,8048,False
Landline,BT,2012 Q2,20.0,2012,2,8049,False
Landline,BT,2012 Q3,21.0,2012,3,8050,False
Landline,BT,2012 Q4,20.0,2012,4,8051,False
Landline,BT,2013 Q1,21.0,2013,1,8052,False
Landline,BT,2013 Q2,18.0,2013,2,8053,False
Landline,BT,2013 Q3,24.0,2013,3,8054,False
Landline,BT,2013 Q4,22.0,2013,4,8055,False
Landline,BT,2014 Q1,23.0,2014,1,8056,False
Landline,BT,2014 Q2,17.0,2014,2,8057,False
Landline,BT,2014 Q3,16.0,2014,3,8058,False
Landline,BT,2014 Q4,15.0,2014,4,8059,False
Landline,BT,2015 Q1,15.0,2015,1,8060,False
Landline,BT,2015 Q2,14.0,2015,2,8061,False
Landline,BT,2015 Q3,22.0,2015,3,8062,False
Landline,BT,2015 Q4,19.0,2015,4,8063,False
Landline,BT,2016 Q1,19.0,2016,1,8064,False
Landline,BT,2016 Q2,15.0,2016,2,8065,False
Landline,BT,2016 Q3,19.0,2016,3,8066,False
Landline,BT,2016 Q4,18.0,2016,4,8067,False
Landline,BT,2017 Q1,20.0,2017,1,8068,False
Landline,BT,2017 Q2,15.0,2017,2,8069,False
Landline,BT,2017 Q3,14.0,2017,3,8070,False
Landline,BT,2017 Q4,16.0,2017,4,8071,False
Landline,BT,2018 Q1,14.0,2018,1,8072,False
Landline,BT,2018 Q2,10.0,2018,2,8073,False
Landline,BT,2018 Q3,13.0,2018,3,8074,False
Landline,BT,2018 Q4,12.0,2018,4,8075,False
Landline,BT,2019 Q1,9.0,2019,1,8076,False
Landline,BT,2019 Q2,7.0,2019,2,8077,False
Landline,BT,2019 Q3,8.0,2019,3,8078,False
Landline,BT,2019 Q4,7.0,2019,4,8079,False
Landline,BT,2020 Q1,7.0,2020,1,8080,False
Landline,BT,2020 Q2,4.0,2020,2,8081,False
Landline,BT,2020 Q3,10.0,2020,3,8082,False
Landline,BT,2020 Q4,8.0,2020,4,8083,False
Landline,BT,2021 Q1,9.0,2021,1,8084,False
Landline,BT,2021 Q2,6.0,2021,2,8085,False
Landline,BT,2021 Q3,6.0,2021,3,8086,False
Landline,BT,2021 Q4,5.0,2021,4,8087,False
Landline,BT,2022 Q1,5.0,2022,1,8088,False
Landline,BT,2022 Q2,5.0,2022,2,8089,False
Landline,BT,2022 Q3,6.0,2022,3,8090,False
Landline,BT,2022 Q4,6.0,2022,4,8091,False
Landline,BT,2023 Q1,8.0,2023,1,8092,False
Landline,BT,2023 Q2,7.0,2023,2,8093,False
Landline,BT,2023 Q3,7.0,2023,3,8094,False
Landline,BT,2023 Q4,7.0,2023,4,8095,False
Landline,BT,2024 Q1,5.0,2024,1,8096,False
Landline,BT,2024 Q2,7.0,2024,2,8097,False
Landline,BT,2024 Q3,6.0,2024,3,8098,False
Landline,BT,2024 Q4,7.0,2024,4,8099,False
Landline,BT,2025 Q1,7.0,2025,1,8100,False
Landline,BT,2025 Q2,4.0,2025,2,8101,False
Landline,BT,2025 Q3,5.0,2025,3,8102,False
Landline,BT,2025 Q4,5.0,2025,4,8103,False
Landline,EE,2014 Q2,29.0,2014,2,8057,False
Landline,EE,2014 Q3,32.0,2014,3,8058,False
Landline,EE,2014 Q4,36.0,2014,4,8059,False
Landline,EE,2015 Q1,39.0,2015,1,8060,False
Landline,EE,2015 Q2,34.0,2015,2,8061,False
Landline,EE,2015 Q3,34.0,2015,3,8062,False
Landline,EE,2015 Q4,25.0,2015,4,8063,False
Landline,EE,2016 Q1,22.0,2016,1,8064,False
Landline,EE,2016 Q2,15.0,2016,2,8065,False
Landline,EE,2016 Q3,20.0,2016,3,8066,False
Landline,EE,2016 Q4,19.0,2016,4,8067,False
Landline,EE,2017 Q1,19.0,2017,1,8068,False
